,search_date,url,address,suburb,sold_price,bedrooms,bathrooms,carspaces,land area,day sold,month sold,year sold
0,19 Apr 20 14:30:24,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016114099&mode=sold,22 Francis Street,blackburn,1199000,4,1,2,638.0,9th,April,2020
1,19 Apr 20 14:30:25,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016129899&mode=sold,21 Patricia Road,blackburn,1255000,2,1,2,651.0,4th,April,2020
2,19 Apr 20 14:30:29,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016127111&mode=sold,4/21 Laburnum Street,blackburn,1190000,3,2,2,274.0,1st,April,2020
3,19 Apr 20 14:30:30,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016118973&mode=sold,1 Harold Street,blackburn,1180000,5,2,2,591.0,31st,March,2020
4,19 Apr 20 14:30:31,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016115727&mode=sold,15 Pakenham Street,blackburn,1400000,3,1,2,692.0,25th,March,2020
5,19 Apr 20 14:30:36,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016097661&mode=sold,87 Canterbury Road,blackburn,1075000,4,2,2,611.0,21st,March,2020
6,19 Apr 20 14:30:40,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016093219&mode=sold,1/24-26 Service Road,blackburn,1108000,3,2,2,305.0,14th,March,2020
7,19 Apr 20 14:30:42,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016082845&mode=sold,39 Pope Road,blackburn,1338000,3,2,1,600.0,14th,March,2020
8,19 Apr 20 14:30:45,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016078202&mode=sold,28 Tyrrell Avenue,blackburn,1690000,3,2,1,1190.0,14th,March,2020
9,19 Apr 20 14:30:46,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016167905&mode=sold,314/21 Queen Street,blackburn,530000,2,2,2,unknown,13th,March,2020
10,19 Apr 20 14:30:47,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016085500&mode=sold,314/21 Queen Street,blackburn,530000,2,2,2,unknown,13th,March,2020
11,19 Apr 20 14:30:47,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016083672&mode=sold,5/28 Lake Road,blackburn,633000,2,1,1,unknown,12th,March,2020
12,19 Apr 20 14:30:52,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016062122&mode=sold,18 Pakenham Street,blackburn,1630000,3,2,2,283.0,7th,March,2020
13,19 Apr 20 14:30:55,https://www.domain.com.au/Public/PropertyBrochure.aspx?adid=2016073284&mode=sold,48 Elmhurst Road,blackburn,1630000,3,2,2,1072.0,5th,March,2020
